Sample,Code,Fe,Mn,Ni,Cu,Co,Zn,Ca,Mg,Na,K
55,C,0.14,0.09,0.05,0.11,0.11,0.12,20.66,12.25,7.49,193.86
56,C,0.12,0.07,0.04,0.12,0.11,0.18,19.27,10.80,51.01,177.35
57,C,0.14,0.20,0.04,0.04,0.11,0.16,38.47,21.65,6.59,193.35
58,C,1.33,0.09,0.08,0.02,0.11,0.11,42.84,16.27,49.08,206.16
59,C,2.53,0.18,0.09,0.18,0.04,0.28,19.38,12.63,21.05,163.50
60,C,0.15,0.04,0.03,0.02,0.10,0.16,13.20,16.25,19.17,74.90
61,C,1.74,0.15,0.04,0.12,0.11,0.35,97.81,36.55,2.05,197.74
62,C,0.76,0.04,0.08,0.08,0.11,0.10,87.50,10.63,43.98,198.05
63,C,3.64,0.06,0.07,0.10,0.03,0.13,18.65,33.44,2.96,200.27
64,C,1.92,0.09,0.09,0.14,0.04,0.36,18.51,10.89,2.75,117.38
65,C,2.39,0.10,0.07,0.03,0.03,0.32,159.14,16.36,6.28,192.84
66,C,2.01,0.10,0.08,0.07,0.03,0.09,28.72,19.30,7.52,179.27
67,C,2.26,0.06,0.07,0.07,0.04,0.10,17.11,24.03,5.72,194.37
68,C,0.15,0.06,0.03,0.09,0.11,0.14,16.62,12.60,6.64,208.11
69,C,2.80,0.12,0.04,0.07,0.07,0.38,16.66,20.99,21.25,162.82
70,C,2.89,0.21,0.04,0.03,0.04,0.20,11.87,12.54,45.23,162.91
71,O,0.04,0.03,0.03,0.04,0.11,0.05,25.52,11.49,5.30,97.88
72,O,0.86,0.04,0.02,0.11,0.11,0.04,27.28,7.18,39.15,95.60
73,O,4.07,0.03,0.02,0.02,0.11,0.04,15.01,7.83,41.17,91.99
74,O,2.60,0.05,0.03,0.05,0.11,0.07,55.21,11.83,5.65,94.58
75,O,2.64,0.04,0.03,0.10,0.04,0.04,43.53,7.37,9.44,98.39
76,O,0.97,0.08,0.03,0.06,0.10,0.05,62.55,23.65,7.42,120.62
77,O,0.18,0.09,0.03,0.11,0.11,0.04,112.70,17.04,3.71,96.13
78,O,0.19,0.05,0.03,0.11,0.11,0.07,58.05,18.02,7.47,93.82
79,O,3.24,0.06,0.03,0.11,0.11,0.09,15.64,9.77,9.19,105.47
80,O,2.62,0.09,0.08,0.06,0.04,0.11,37.05,16.00,7.44,113.55
81,O,3.06,0.06,0.06,0.06,0.03,0.11,55.75,12.89,12.44,121.94
82,O,3.18,0.07,0.01,0.05,0.11,0.09,58.56,20.44,12.60,120.55
83,O,3.17,0.06,0.06,0.10,0.04,0.16,28.48,9.73,3.24,64.95
84,O,2.52,0.06,0.05,0.08,0.03,0.19,28.24,11.24,3.92,138.26
85,O,0.41,0.09,0.07,0.06,0.04,0.19,41.84,17.98,3.61,136.21
86,O,2.93,0.08,0.03,0.05,0.05,0.08,33.47,18.23,3.32,187.46
87,O,1.21,0.04,0.01,0.13,0.11,0.13,56.10,17.18,5.02,151.11
88,O,2.39,0.06,0.07,0.07,0.04,0.14,33.33,16.24,4.85,129.81
89,O,1.60,0.09,0.08,0.05,0.04,0.08,18.22,16.92,40.95,89.27
90,O,1.90,0.06,0.01,0.07,0.11,0.09,33.52,14.59,41.38,87.35
91,O,2.12,0.10,0.05,0.10,0.11,0.10,22.31,33.76,39.81,64.95
92,O,2.20,0.07,0.02,0.11,0.11,0.09,26.81,6.54,40.02,63.72
93,O,1.76,0.07,0.06,0.11,0.11,0.12,56.95,47.53,5.55,186.90
94,O,2.52,0.05,0.08,0.10,0.04,0.13,13.80,9.27,5.60,61.55
95,O,1.15,0.09,0.06,0.05,0.04,0.14,28.27,13.41,15.86,63.25
96,O,2.17,0.10,0.01,0.08,0.11,0.14,21.74,12.05,12.38,102.75
97,O,3.11,0.05,0.07,0.13,0.11,0.24,25.59,8.49,27.11,86.45
98,O,2.85,0.13,0.09,0.08,0.04,0.15,44.20,19.18,5.24,184.90
99,O,2.37,0.05,0.07,0.07,0.03,0.21,43.86,14.18,3.73,140.89
100,O,2.60,0.06,0.07,0.12,0.03,0.20,46.02,18.02,13.19,130.79
101,O,2.71,0.18,0.02,0.09,0.11,0.19,19.07,14.58,6.47,184.15
102,O,2.53,0.07,0.07,0.12,0.03,0.09,36.29,20.41,33.56,180.52
103,O,3.96,0.05,0.08,0.06,0.04,0.27,74.85,30.13,43.06,189.02
104,O,1.67,0.03,0.01,0.06,0.11,0.08,65.15,19.59,6.38,181.52
105,O,2.56,0.03,0.04,0.18,0.04,0.20,53.75,26.91,9.37,65.58
106,O,2.40,0.06,0.08,0.09,0.03,0.16,74.78,20.48,7.62,51.08
107,O,4.77,0.12,0.07,0.20,0.11,0.21,30.68,12.09,5.46,50.38
108,O,3.06,0.04,0.07,0.09,0.04,0.11,42.08,18.79,9.36,170.86
109,O,4.18,0.05,0.08,0.13,0.06,0.23,65.17,29.43,7.44,172.78
110,O,2.29,0.11,0.06,0.07,0.06,0.11,16.81,11.80,8.73,37.02
111,O,3.06,0.09,0.05,0.08,0.11,0.10,49.70,14.27,12.34,128.54
112,O,2.79,0.05,0.01,0.08,0.11,0.09,48.41,20.74,11.64,101.13
113,O,4.19,0.22,0.09,0.06,0.04,0.15,63.59,26.64,5.61,47.01
114,O,2.85,0.06,0.07,0.04,0.03,0.09,48.89,14.37,4.66,35.83
115,O,1.15,0.12,0.07,0.06,0.11,0.27,49.63,12.57,4.28,51.93
116,O,3.66,0.08,0.07,0.13,0.04,0.20,73.91,19.19,3.18,94.65
117,O,3.86,0.08,0.01,0.09,0.11,0.10,66.31,18.95,4.50,98.64
118,O,1.80,0.07,0.04,0.04,0.11,0.10,52.10,31.57,4.46,110.73
119,O,2.40,0.21,0.04,0.10,0.10,0.20,74.04,12.23,38.46,117.80
120,O,2.76,0.10,0.04,0.06,0.04,0.10,73.65,20.65,42.83,82.28
121,O,3.99,0.07,0.04,0.05,0.04,0.08,60.63,26.70,41.15,87.73
122,O,4.10,0.03,0.07,0.05,0.03,0.05,66.04,33.32,38.88,87.90
123,O,4.57,0.04,0.01,0.06,0.03,0.05,64.13,18.63,15.36,121.25
124,O,5.16,0.04,0.02,0.09,0.04,0.15,19.18,21.03,33.86,185.32
125,O,3.31,0.11,0.09,0.08,0.04,0.15,18.51,14.42,24.56,119.27
126,O,4.31,0.07,0.07,0.08,0.11,0.21,46.50,14.50,25.89,179.84
127,O,5.94,0.05,0.04,0.06,0.11,0.10,48.20,13.93,7.73,192.79
128,O,4.33,0.08,0.04,0.06,0.11,0.09,58.21,20.48,7.69,50.33
129,O,4.35,0.08,0.06,0.04,0.04,0.09,20.63,31.31,6.62,78.46
130,O,3.97,0.04,0.05,0.06,0.04,0.11,21.31,19.79,6.47,165.19
